strategy,net_sharpe,stress_sharpe,extreme_sharpe,avg_turnover,avg_switch,avg_repair_budget,avg_active_repair_weight,avg_ew_exposure,avg_full_ew_weight,avg_low_coverage_ew_weight
qpp_exact,0.9432736856580243,0.8931891136936392,0.8098914243929226,0.10995290149100773,0.1175222674590918,,,0.7590380196107185,0.7274678001854287,0.17140984982895865
full_mas_exact,0.8342053032616517,0.8288193889367867,0.819823749961161,0.0009921125493026232,0.04933938571450855,,,0.24873313001348848,0.24873313001348848,0.047102416835539604
central_q_exact,0.826851557080304,0.7814693233201372,0.7060079529237583,0.11269495906900166,0.049386182476172644,,,,,
maspp_fixed_b06,0.95677230677117,0.8857838794992057,0.7676561232750405,0.13453541696810573,0.11740049530713145,0.5999999999999998,0.5999999999999998,0.455422811766431,0.4364806801112572,0.10284590989737519
maspp_global_dynamic,0.9475044264004078,0.8627897980178794,0.721990208421571,0.17408754557065015,0.11740049530713145,0.7180190930787589,0.7180190930787589,0.5604076530994824,0.538089720042297,0.12599576757350744
maspp_cluster_dynamic,0.9912309662264072,0.9103877029274078,0.7760340213448526,0.1486919345539127,0.11740049530713145,0.6472702464741059,0.6242534731873274,0.4795731614843575,0.4603400490763209,0.1118650764152143
central_cluster_dynamic,0.9341657380820285,0.8595744351605351,0.7357102407500176,0.16566505487704364,0.11740049530713145,0.7233160660980686,0.6981465934555672,0.5357237121762788,0.5144674693036709,0.1234125748340168
inversevol_cluster_dynamic,0.9802945766274527,0.893527371391484,0.7490355635140177,0.14811308734381326,0.11740049530713145,0.6454633864868466,0.6231739567144932,0.48359303355489336,0.4637744277652177,0.1135236893268938
maspp_cluster_reliability,0.9780962781509449,0.8994717046636683,0.7687773516972715,0.14571443307961918,0.11740049530713145,0.6202441572102292,0.6015956679949438,0.46532717452130695,0.4469812972874953,0.1090724672402087
