strategy,net_sharpe,stress_sharpe,extreme_sharpe,ann_return,ann_vol,max_drawdown,calmar,es_5,hit_rate,avg_turnover,avg_switch,n_months,ff6_alpha_ann,ff6_alpha_tstat,ff6_r2,avg_ew_exposure,avg_full_ew_weight,avg_low_coverage_ew_weight,avg_repair_budget,avg_active_repair_weight
qpp_exact,0.9432736856580243,0.8931891136936392,0.8098914243929226,0.047189698804821045,0.05002757897555648,-0.10924731093963769,0.43195295517062865,-0.033235381364382297,0.6921241050119332,0.10995290149100773,0.1175222674590918,419,0.02676840253113595,4.5412182823472556,0.6536706554877312,0.7590380196107185,0.7274678001854287,0.17140984982895865,,
full_mas_exact,0.8342053032616517,0.8288193889367867,0.819823749961161,0.030431098000910373,0.036479147137914496,-0.08506510331127137,0.3577389177975425,-0.02190586991095687,0.6276849642004774,0.0009921125493026232,0.04933938571450855,419,0.018765479056597586,5.663774867780065,0.7980940266092447,0.24873313001348848,0.24873313001348848,0.047102416835539604,,
central_q_exact,0.826851557080304,0.7814693233201372,0.7060079529237583,0.041808212372464126,0.050563141611649286,-0.15171741279374318,0.2755663414146243,-0.03410522423836299,0.6420047732696897,0.11269495906900166,0.049386182476172644,419,0.02434865242271065,4.68712614550606,0.7039614524930944,,,,,
inverse_vol_exact,0.6303736484280827,0.625501692785284,0.6173794542877201,0.016282463303963768,0.025829860344838605,-0.06397700748714052,0.2545049220571401,-0.015429705045814143,0.568019093078759,0.006968443578216317,0.0,419,0.009354081006004752,4.197084681260827,0.7844022824567909,,,,,
qpp_rebuilt,0.914871167125979,0.8222937890198938,0.6685448244453672,0.04575816933078114,0.05001597052678804,-0.10939375557947761,0.41828867734170216,-0.033400084865941586,0.6825775656324582,0.2242256949468428,0.11830148792904066,419,0.025424508531768218,4.30456653567056,0.6536271545611243,,,,,
gov_rebuilt,0.8154894708550805,0.7570060845872084,0.6596935387994045,0.04102639208742409,0.050308916980136995,-0.15355895365769612,0.2671703024160839,-0.03393695237729123,0.6372315035799523,0.1493724598480181,0.045391999254875616,419,0.0236022602084813,4.619608456953387,0.7047077816823086,,,,,
maspp_fixed_b035,0.9425646145517684,0.8927355595028609,0.8097442300802422,0.03567111700188019,0.0378447444887833,-0.0903600558143639,0.3947664339114962,-0.024078330470140248,0.6968973747016707,0.07847899323139501,0.11740049530713145,419,0.020998679459861714,5.735009189666874,0.7803080127883647,0.26566330686375145,0.2546137300649,0.05999344744013552,0.3499999999999999,0.3500000000000001
maspp_fixed_b05,0.9565865953058693,0.8932973780568552,0.7879396966370226,0.03799146588647773,0.03971565781175297,-0.09258129869295595,0.41035788461420997,-0.02544904328294518,0.7040572792362768,0.11211284747342143,0.11740049530713145,419,0.02202051305823742,5.436882377906198,0.7539232809363507,0.37951900980535924,0.36373390009271434,0.08570492491447933,0.5,0.5
maspp_fixed_b06,0.95677230677117,0.8857838794992057,0.7676561232750405,0.039541011525098035,0.04132750419850416,-0.09407065919765412,0.42033309708202926,-0.02670298186415528,0.7016706443914081,0.13453541696810573,0.11740049530713145,419,0.022701735457154582,5.20052380434933,0.733546245130706,0.455422811766431,0.4364806801112572,0.10284590989737519,0.5999999999999998,0.5999999999999998
maspp_fixed_b07,0.9513560934011698,0.8736766828637959,0.7444721832291288,0.041092677342010164,0.04319379213213503,-0.09556682728532473,0.42998892512486253,-0.02804415933154078,0.7064439140811456,0.15695798646279,0.11740049530713145,419,0.02338295785607171,4.959460283831633,0.7124939037671019,0.5313266137275029,0.5092274601298,0.11998689488027103,0.6999999999999998,0.7000000000000002
maspp_fixed_b08,0.9417749974308294,0.8583441724097851,0.7196402286709573,0.04264646597411459,0.045283073016861276,-0.09910391497972681,0.43032069906459863,-0.029523289783587214,0.7040572792362768,0.17938055595747426,0.11740049530713145,419,0.024064180254988857,4.72612438160751,0.6917571488321329,0.6072304156885748,0.5819742401483429,0.1371278798631669,0.8000000000000002,0.8000000000000002
maspp_fixed_b09,0.9292857560878968,0.840946769915568,0.694158145505569,0.044202380061262314,0.0475659717925144,-0.10424868289865008,0.4240090026291804,-0.03143666595289818,0.6992840095465394,0.20180312545215856,0.11740049530713145,419,0.024745402653906012,4.507034488031573,0.6720040977378787,0.6831342176496465,0.6547210201668858,0.15426886484606275,0.9000000000000004,0.9000000000000004
maspp_fixed_b095,0.9222808856464673,0.8317708052749291,0.6814143374199494,0.04498113497623901,0.04877162226419748,-0.10682106685811144,0.4210886138778849,-0.03241825142329936,0.6825775656324582,0.21301441019950068,0.11740049530713145,419,0.025086013853364574,4.403788666773218,0.6626279817008918,0.7210861186301826,0.691094410176157,0.1628393573375107,0.9499999999999998,0.9499999999999998
maspp_global_dynamic,0.9475044264004078,0.8627897980178794,0.721990208421571,0.04130009963841785,0.0435882920308013,-0.09424200351292922,0.43823452493507126,-0.028329205362827507,0.7040572792362768,0.17408754557065015,0.11740049530713145,419,0.024452156769492396,5.072678054056396,0.6847994873092698,0.5604076530994824,0.538089720042297,0.12599576757350744,0.7180190930787589,0.7180190930787589
maspp_cluster_dynamic,0.9912309662264072,0.9103877029274078,0.7760340213448526,0.03943214574533127,0.039780986560022956,-0.08735799656103194,0.45138564639337087,-0.025837391745471665,0.6992840095465394,0.1486919345539127,0.11740049530713145,419,0.023405050186705845,5.535535517282674,0.706150009488796,0.4795731614843575,0.4603400490763209,0.1118650764152143,0.6472702464741059,0.6242534731873274
maspp_cluster_reliability,0.9780962781509449,0.8994717046636683,0.7687773516972715,0.03928740495841909,0.04016721649599821,-0.0860654607805893,0.4564828283273392,-0.02619701246622215,0.6897374701670644,0.14571443307961918,0.11740049530713145,419,0.02333803881055748,5.347093459197975,0.6976679776957762,0.46532717452130695,0.4469812972874953,0.1090724672402087,0.6202441572102292,0.6015956679949438
central_cluster_dynamic,0.9341657380820285,0.8595744351605351,0.7357102407500176,0.04449464944218362,0.04763035896985185,-0.11987849630812364,0.3711645608885437,-0.03248130108852516,0.7016706443914081,0.16566505487704364,0.11740049530713145,419,0.026001897679967478,4.8985991498138715,0.6768859102098659,0.5357237121762788,0.5144674693036709,0.1234125748340168,0.7233160660980686,0.6981465934555672
inversevol_cluster_dynamic,0.9802945766274527,0.893527371391484,0.7490355635140177,0.035809488455066374,0.036529314054009374,-0.07529677708061167,0.4755779708436822,-0.023002562157799906,0.7016706443914081,0.14811308734381326,0.11740049530713145,419,0.021585019397745864,4.923046198046121,0.6669848753960832,0.48359303355489336,0.4637744277652177,0.1135236893268938,0.6454633864868466,0.6231739567144932
